                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.1846,                  1.685,                 1.6188,                0.33641,                0.45075,                0.37901,                0.24199,                 1.5896,                 2.2257,                 2.1355,             0.00056839,             0.00056839,             0.00056839
                     76,                 1.1634,                 1.6585,                 1.6043,                0.42048,                0.35921,                0.34076,                0.21787,                 1.5191,                 2.3001,                 2.0614,             0.00056105,             0.00056105,             0.00056105
                     77,                  1.174,                 1.6309,                 1.5989,                0.58705,                0.40445,                0.41794,                0.27666,                 1.5077,                 2.1921,                 2.0159,             0.00055372,             0.00055372,             0.00055372
                     78,                 1.1844,                  1.626,                 1.6103,                0.39282,                0.43863,                0.39388,                0.25766,                 1.5862,                 2.1672,                 2.1416,             0.00054639,             0.00054639,             0.00054639
                     79,                 1.1594,                 1.5959,                 1.5896,                0.40498,                0.42541,                0.37279,                0.24715,                  1.583,                 2.2526,                 2.0851,             0.00053906,             0.00053906,             0.00053906
                     80,                 1.1563,                 1.5915,                 1.5814,                   0.45,                0.48558,                0.42269,                0.28822,                 1.5007,                 2.1416,                 2.0478,             0.00053172,             0.00053172,             0.00053172
                     81,                 1.1559,                 1.5854,                  1.599,                0.40071,                 0.5059,                0.41387,                0.27551,                 1.5337,                 2.1414,                 2.0407,             0.00052439,             0.00052439,             0.00052439
                     82,                 1.1334,                 1.5963,                 1.5512,                0.44934,                0.45756,                0.41265,                0.26924,                 1.5236,                 2.1117,                 2.0798,             0.00051706,             0.00051706,             0.00051706
                     83,                 1.1285,                 1.5623,                  1.567,                0.34399,                0.45017,                0.36383,                0.24291,                 1.5355,                 2.2114,                 2.0575,             0.00050973,             0.00050973,             0.00050973
                     84,                 1.1032,                 1.5252,                 1.5374,                0.44564,                0.45985,                0.43612,                0.30022,                  1.513,                 2.1489,                 2.0238,             0.00050239,             0.00050239,             0.00050239
                     85,                  1.102,                 1.5102,                 1.5458,                0.51626,                0.41921,                0.43573,                0.27816,                 1.4912,                 2.1462,                 2.0706,             0.00049506,             0.00049506,             0.00049506
                     86,                 1.1049,                 1.5081,                 1.5442,                0.50951,                0.47165,                0.45046,                0.29955,                 1.4689,                 2.0889,                 2.0003,             0.00048773,             0.00048773,             0.00048773
                     87,                 1.1058,                 1.5398,                 1.5463,                0.52643,                0.38888,                0.43156,                0.25873,                 1.5532,                 2.2313,                 2.1002,              0.0004804,              0.0004804,              0.0004804
                     88,                 1.0966,                 1.4975,                 1.5272,                0.52813,                0.43789,                0.43361,                0.28605,                 1.5287,                 2.0818,                 2.0153,             0.00047306,             0.00047306,             0.00047306
                     89,                  1.064,                 1.4142,                 1.4938,                0.45812,                0.47027,                0.42527,                0.29243,                 1.4489,                 2.0708,                 1.9645,             0.00046573,             0.00046573,             0.00046573
                     90,                 1.0346,                  1.405,                 1.4792,                0.42501,                0.51663,                 0.4622,                0.31011,                 1.4739,                 2.0388,                 1.9844,              0.0004584,              0.0004584,              0.0004584
                     91,                 1.0567,                 1.4123,                 1.5005,                0.49478,                0.45858,                0.45827,                0.31165,                 1.4907,                 2.0659,                 2.0219,             0.00045107,             0.00045107,             0.00045107
                     92,                  1.063,                 1.3948,                 1.4988,                0.58745,                0.39098,                0.44472,                0.30063,                 1.4989,                 2.0866,                 2.0059,             0.00044373,             0.00044373,             0.00044373
                     93,                 1.0424,                 1.3916,                 1.4802,                0.30102,                0.47133,                 0.3732,                0.25454,                 1.4566,                 2.2489,                 2.0238,              0.0004364,              0.0004364,              0.0004364
                     94,                 1.0473,                 1.3791,                  1.485,                0.56941,                0.32725,                0.42413,                0.29271,                 1.4668,                 2.0804,                 1.9871,             0.00042907,             0.00042907,             0.00042907
                     95,                 1.0581,                 1.3661,                 1.4846,                0.44252,                0.46514,                0.42148,                0.28659,                 1.4961,                 2.0492,                 1.9926,             0.00042174,             0.00042174,             0.00042174
                     96,                 1.0431,                 1.3716,                 1.4815,                0.47102,                0.42918,                0.43448,                0.29967,                 1.4876,                 2.1046,                 2.0083,              0.0004144,              0.0004144,              0.0004144
                     97,                 1.0231,                 1.3593,                 1.4745,                0.47188,                0.43481,                0.41476,                0.28566,                 1.4905,                 2.1795,                 2.0297,             0.00040707,             0.00040707,             0.00040707
                     98,                 1.0293,                 1.3162,                 1.4668,                0.53325,                0.43318,                0.44628,                0.31128,                 1.4847,                 2.0142,                 1.9824,             0.00039974,             0.00039974,             0.00039974
